,symbol
0,^GSPC
1,^DJI
2,^IXIC
3,^NYA
4,^XAX
5,^BUK100P
6,^RUT
7,^VIX
8,^FTSE
9,^GDAXI
10,^FCHI
11,^STOXX50E
12,^N100
13,^BFX
14,IMOEX.ME
15,^N225
16,^HSI
17,000001.SS
18,399001.SZ
19,^STI
20,^AXJO
21,^AORD
22,^BSESN
23,^JKSE
24,^KLSE
25,^NZ50
26,^KS11
27,^TWII
28,^GSPTSE
29,^BVSP
30,^MXX
31,^IPSA
32,^MERV
33,^TA125.TA
34,^CASE30
35,^JN0U.JO
