,symbol
0,^GSPC
2,^DJI
4,^IXIC
6,^NYA
8,^XAX
10,^BUK100P
12,^RUT
14,^VIX
16,^FTSE
18,^GDAXI
20,^FCHI
22,^STOXX50E
24,^N100
26,^BFX
28,IMOEX.ME
30,^N225
32,^HSI
34,000001.SS
36,399001.SZ
38,^STI
40,^AXJO
42,^AORD
44,^BSESN
46,^JKSE
48,^KLSE
50,^NZ50
52,^KS11
54,^TWII
56,^GSPTSE
58,^BVSP
60,^MXX
62,^IPSA
64,^MERV
66,^TA125.TA
68,^CASE30
70,^JN0U.JO
