symbol
BTC
ETH
ADAUSD
ALGOUSD
AVAXUSD
BTCUSD
CROUSD
DAIUSD
DOGEUSD
DOTUSD
ETHUSD
LINKUSD
MATICUSD
SHIBUSD
SOLUSD
UNIUSD
USDCUSD
USDTUSD
6A
ACD
@YA
AJY
ANE
@AR
@KAU
6L
@PY
6B
PJY
@BF
PSF
6C
@HY
CJY
@KSV
CZK
M6A
MCD
MSF
M6E
M6B
M6C
M6S
M6J
6E
E7
EAD
RP
@KGB
ECD
@EZ
@HRE
RY
@KEJ
ENK
@KOL
ESK
@KRK
RF
@KRZ
@KEO
MIR
SIR
ILS
6J
J7
KRW
6M
6N
@ZJ
NOK
PLN
@PLE
EPZ
@PLN
6R
@MP
6Z
@PC
@GN
@PK
SEK
6S
SJY
@KZY
@TRM
@VU
@NT
@ZR
@KXD
@DX
CNH
AUDUSD
GBPUSD
USDCAD
EURUSD
USDJPY
NZDUSD
USDCHF
QFI
QBOO
QFO
QEOB
QE5
Q91
Q9N
Q7E
Q3NA
QANT
QBZ
QFY
QDB
QCY
QCU
Q3C
Q5C
QCSW
QMTF
QMFF
QA8L
QA8M
QA8K
CL
QCL
QM
BZ
MCL
QDC
QTTF
TTF
QEWN
QEWG
QA5
QZ1
QUV
QET
QR53
QEN
QPS
QEPN
QAUF
QUB
QR5F
QGZ
QGX
GLI
QGLI
QFL
QFRC
QTM
QTH
QT2D
QTL
Q7H
Q7K
QZ5
QVL
QMG
QGCI
MFB
QGCU
QME
QA6
QA8
QGSW
QCBO
QLY
QRVR
HP
QHP
HH
QHH
QNN
QNP
QAU6
QJA
QJB
QJCC
QJC
QKL
QJS
QLSW
QWJ
QBL2
QJKM
QMQA
QGOC
QQA
QYX
QYV
QCMS
QMT2
QMEF
QR5O
QM1B
QS5O
QMAF
QMCL
QMAS
QMAE
Q0B
Q0D
QMPS
QR5M
QMNC
QMEO
QMJN
QMXB
QS5M
QMTS
QMAA
QAC0
QMBN
Q8I
QMBL
B0
QB0
QPMF
Q7Q
QAD0
QMBE
QUN
QNOB
NG
QNG
QG
QH2L
QEZ
HO
QHO
QJET
QMM
QHOB
QBH
QHK
QMPX
QNLS
Q7Y
QT3
QPGP
QV3
QAZ9
QN9
QAL1
Q3G
Q1R
QRLX
QARE
QRT
QRB
RB
QU
QRBB
QEXR
QRH
QSE
QS5F
QS53
QSG
QGA
Q1N
Q1NB
QLT
QH5F
QWCW
QBK
QCSX
QHIL
QHTT
QFF
QWTT
QFH
QFH
EURAUD
EURGBP
EURCAD
EURDKK
EURJPY
EURNOK
EURSEK
EURCHF
CB
CSC
@CC
@KC
@CT
DY
LBS
DC
GDK
GNF
@OJ
@SB
@SFI
ZC
XC
@MW
@KW
ZO
ZR
XK
ZM
ZL
ZS
ZW
XW
AW
YM
FT5
MNQ
M2K
MES
@MMW
@MFS
@MFU
@ASN
@MME
@MLE
@MMN
@MMM
@MML
@EU9
@MIN
@USS
@MWS
NQ
BIO
NKD
NIY
RSG
RS1
RSV
RTY
ES
SDA
XAY
XAP
SDI
XAE
XAF
XAV
XAI
XAB
XAK
XAU
GD
EMD
ZN
N1U
ZT
Z3N
ZQ
ZF
F1U
GE
ZB
TN
UB
GF
HE
LE
@YI
ALI
HG
QC
HRC
MGC
GC
QO
XAUUSDO
@YG
PA
QPA
XPDUSDO
PL
QPL
XPTUSDO
SI
QI
SIL
XAGUSDO
USDHKD
USDINR
USDIDR
USDMYR
USDPHP
USDSGD
USDKRW
USDTHB
USDCZK
USDDKK
USDHUF
USDNOK
USDPLN
USDRUB
USDSEK
USDBRL
USDEGP
USDILS
USDMXN
USDZAR
USDTND
RX
XAR
QCC5
