,symbol,name,sector,market_cap
105,ADGI,Adagio Therapeutics,Biotechnology,297.88M
106,ADI,Analog Devices,Semiconductors & Semiconductor Equipment,84.55B
107,ADIL,Adial Pharmaceuticals,Pharmaceuticals,33.30M
108,ADM,Archer-Daniels-Midland Company,Food Products,48.77B
109,ADMA,ADMA Biologics,Biotechnology,403.50M
110,ADMP,Adamis Pharmaceuticals,Pharmaceuticals,61.42M
111,ADN,Advent Technologies Holdings,Utilities-Renewable,70.97M
112,ADNT,Adient,Auto Components,3.07B
113,ADOC,Edoc Acquisition,Blank Check / SPAC,55.87M
114,ADP,Automatic Data Processing,IT Services,88.31B
115,ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1.11B
116,ADRA,Adara Acquisition,Blank Check / SPAC,141.59M
117,ADRT,Ault Disruptive Technologies,Blank Check / SPAC,143.18M
118,ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,283.57M
119,ADSK,Autodesk,Software,39.61B
120,ADT,ADT Inc.,Commercial Services & Supplies,6.27B
121,ADTH,AdTheorent Holding Company,Advertising Agencies,784.56M
122,ADTN,ADTRAN,Communications Equipment,889.57M
123,ADTX,Aditx,Biotechnology,12.51M
124,ADUS,Addus HomeCare,Health Care Providers & Services,1.36B
125,ADV,Advantage Solutions,Advertising Agencies,1.36B
126,ADVM,Adverum Biotechnologies,Biotechnology,82.34M
127,ADXN,Addex Therapeutics,Biotechnology,25.26M
128,ADXS,Advaxis,Biotechnology,9.83M
129,AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",150.70M
130,AEAC,Authentic Equity Acquisition,Blank Check / SPAC,294.00M
131,AEAE,AltEnergy Acquisition,Blank Check / SPAC,284.05M
132,AEE,Ameren,Multi-Utilities,24.07B
133,AEG,Aegon,Insurance,10.60B
134,AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,133.70M
135,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,4.52M
136,AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,214.04M
137,AEI,Alset EHome International,Real Estate-Development,35.43M
138,AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,2.86B
139,AEL,American Equity Investment Life Holding Company,Insurance,3.61B
140,AEM,Agnico Eagle Mines,Metals & Mining,24.29B
141,AEMD,Aethlon Medical,Health Care Equipment & Supplies,18.95M
142,AENZ,Aenza,Engineering & Construction,325.58M
143,AEO,American Eagle Outfitters,Specialty Retail,2.23B
144,AEP,American Electric Power Company,Electric Utilities,51.59B
145,AER,AerCap Holdings,Trading Companies & Distributors,11.84B
146,AERC,AeroClean Technologies,Pollution & Treatment Controls,29.00M
147,AERI,Aerie Pharmaceuticals,Pharmaceuticals,325.77M
148,AES,The AES Corporation,Independent Power and Renewable Elect...,14.08B
149,AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",55.97M
150,AEVA,Aeva Technologies,Auto Parts,641.44M
151,AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",18.34M
152,AEYE,AudioEye,Software,38.49M
153,AEZS,AEterna Zentaris,Biotechnology,26.48M
154,AFAC,Arena Fortify Acquisition,Blank Check / SPAC,214.98M
155,AFAQ,AF Acquisition,Blank Check / SPAC,272.72M
156,AFAR,Aura FAT Projects Acquisition,Blank Check / SPAC,125.24M
157,AFBI,Affinity Bancshares,Banks,97.58M
158,AFCG,AFC Gamma,REIT-Specialty,346.09M
159,AFG,American Financial Group,Insurance,11.36B
160,AFI,Armstrong Flooring,Building Products,7.65M
161,AFIB,Acutus Medical,Medical Devices,21.60M
162,AFL,Aflac,Insurance,36.50B
163,AFMD,Affimed,Biotechnology,498.73M
164,AFRM,Affirm Holdings,IT Services,6.96B
165,AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,301.31M
166,AFYA,Afya Limited,Diversified Consumer Services,1.02B
167,AG,First Majestic Silver,Metals & Mining,2.18B
168,AGAC,African Gold Acquisition,Blank Check / SPAC,505.60M
169,AGBA,AGBA Acquisition,Blank Check / SPAC,53.49M
170,AGCB,Altimeter Growth 2,Blank Check / SPAC,571.64M
171,AGCO,AGCO Corporation,Machinery,8.91B
172,AGE,AgeX Therapeutics,Biotechnology,28.09M
173,AGEN,Agenus,Biotechnology,432.23M
174,AGFS,AgroFresh Solutions,Chemicals,93.72M
175,AGFY,Agrify,Machinery,66.24M
176,AGGR,Agile Growth,Blank Check / SPAC,378.59M
177,AGI,Alamos Gold,Metals & Mining,2.95B
178,AGIL,AgileThought,Software-Application,219.31M
179,AGIO,Agios Pharmaceuticals,Biotechnology,1.17B
180,AGL,agilon health,Medical Care Facilities,7.92B
181,AGLE,Aeglea Biotherapeutics,Biotechnology,91.45M
182,AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1.10B
183,AGM.A,Federal Agricultural Mortgage,Credit Services,1.07B
184,AGMH,AGM Group Holdings,Capital Markets,55.06M
185,AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6.27B
186,AGO,Assured Guaranty,Insurance,3.66B
187,AGR,Avangrid,Electric Utilities,18.54B
188,AGRI,AgriFORCE Growing Systems,Farm Products,50.81M
189,AGRO,Adecoagro,Food Products,1.18B
190,AGRX,Agile Therapeutics,Pharmaceuticals,5.63M
191,AGS,PlayAGS,"Hotels, Restaurants & Leisure",192.59M
192,AGTC,Applied Genetic Technologies,Biotechnology,42.87M
193,AGTI,Agiliti,Health Information Services,2.41B
194,AGX,Argan,Construction & Engineering,584.49M
195,AGYS,Agilysys,Software,985.93M
196,AHCO,AdaptHealth,Health Care Providers & Services,2.37B
197,AHG,Akso Health Group,Credit Services,21.44M
198,AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1.18B
199,AHI,Advanced Human Imaging,Software-Application,18.58M
200,AHPA,Avista Public Acquisition II,Blank Check / SPAC,289.23M
201,AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,8.59M
202,AHRN,Ahren Acquisition,Blank Check / SPAC,369.75M
203,AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,186.60M
204,AI,C3.ai,Software,1.85B
205,AIB,AIB Acquisition,Blank Check / SPAC,111.30M
206,AIG,American International Group,Insurance,45.17B
207,AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,46.43M
208,AIHS,Senmiao Technology,Consumer Finance,5.62M
209,AIKI,AIkido Pharma,Biotechnology,29.38M
210,AIM,AIM ImmunoTech,Biotechnology,48.24M
211,AIMA,Aimfinity Investment I,Blank Check / SPAC,90.90M
212,AIMC,Altra Industrial Motion,Machinery,2.35B
213,AIN,Albany International,Machinery,2.62B
214,AINC,Ashford,Capital Markets,48.86M
