,symbol,name,sector,market_cap
1484,CSWI,CSW Industrials,Building Products,1.67B
1485,CSX,CSX Corporation,Road & Rail,67.88B
1486,CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,502.91M
1487,CTAS,Cintas,Commercial Services & Supplies,37.83B
1488,CTBI,Community Trust Bancorp,Banks,739.61M
1489,CTEK,CynergisTek,Health Care Providers & Services,7.86M
1490,CTG,Computer Task Group,IT Services,129.26M
1491,CTGO,Contango ORE,Metals & Mining,150.16M
1492,CTHR,Charles & Colvard,"Textiles, Apparel & Luxury Goods",41.74M
1493,CTIB,Yunhong CTI,Household Durables,4.85M
1494,CTIC,CTI BioPharma,Biotechnology,554.10M
1495,CTK,CooTek (Cayman),Software,6.44M
1496,CTKB,Cytek Biosciences,Medical Devices,1.35B
1497,CTLP,Cantaloupe,Information Technology Services,319.29M
1498,CTLT,Catalent,Pharmaceuticals,17.58B
1499,CTMX,CytomX Therapeutics,Biotechnology,102.68M
1500,CTO,CTO Realty Growth,Real Estate Management & Development,382.76M
1501,CTOS,Custom Truck One Source,Trading Companies & Distributors,1.48B
1502,CTRA,Coterra Energy,"Oil, Gas & Consumable Fuels",25.61B
1503,CTRE,CareTrust REIT,Equity Real Estate Investment Trusts ...,1.69B
1504,CTRM,Castor Maritime,Marine,181.18M
1505,CTRN,Citi Trends,Specialty Retail,227.56M
1506,CTS,CTS Corporation,"Electronic Equipment, Instruments & C...",1.21B
1507,CTSH,Cognizant Technology Solutions,IT Services,37.44B
1508,CTSO,CytoSorbents,Health Care Equipment & Supplies,88.43M
1509,CTT,CatchMark Timber Trust,Equity Real Estate Investment Trusts ...,397.62M
1510,CTV,Innovid,Advertising Agencies,692.16M
1511,CTVA,Corteva,Chemicals,43.96B
1512,CTXR,Citius Pharmaceuticals,Pharmaceuticals,132.54M
1513,CTXS,Citrix Systems,Software,12.63B
1514,CUBE,CubeSmart,Equity Real Estate Investment Trusts ...,9.65B
1515,CUBI,Customers Bancorp,Banks,1.29B
1516,CUE,Cue Biopharma,Biotechnology,125.04M
1517,CUEN,Cuentas,Diversified Telecommunication Services,11.00M
1518,CUK,Carnival,"Hotels, Restaurants & Leisure",14.29B
1519,CULL,Cullman Bancorp,Banks,80.50M
1520,CULP,"Culp, Inc.","Textiles, Apparel & Luxury Goods",65.87M
1521,CURI,CuriosityStream,Broadcasting,84.97M
1522,CURO,CURO Group Holdings,Consumer Finance,338.33M
1523,CURV,Torrid Holdings,Apparel Retail,562.29M
1524,CUTR,Cutera,Health Care Equipment & Supplies,915.07M
1525,CUZ,Cousins Properties,Equity Real Estate Investment Trusts ...,5.03B
1526,CVAC,CureVac,Biotechnology,3.63B
1527,CVBF,CVB Financial,Banks,3.45B
1528,CVCO,Cavco Industries,Household Durables,2.08B
1529,CVCY,Central Valley Community Bancorp,Banks,201.34M
1530,CVE,Cenovus Energy,"Oil, Gas & Consumable Fuels",43.75B
1531,CVEO,Civeo,Commercial Services & Supplies,374.14M
1532,CVET,Covetrus,Health Care Providers & Services,2.70B
1533,CVGI,Commercial Vehicle Group,Machinery,208.88M
1534,CVGW,Calavo Growers,Food Products,550.65M
1535,CVI,CVR Energy,"Oil, Gas & Consumable Fuels",3.19B
1536,CVII,Churchill Capital VII,Blank Check / SPAC,1.68B
1537,CVLG,Covenant Logistics Group,Road & Rail,325.06M
1538,CVLT,Commvault Systems,Software,2.66B
1539,CVLY,Codorus Valley Bancorp,Banks,212.19M
1540,CVM,Cel-Sci,Biotechnology,129.11M
1541,CVNA,Carvana Co.,Specialty Retail,5.34B
1542,CVR,Chicago Rivet & Machine Co.,Machinery,26.45M
1543,CVRX,"CVRx, Inc.",Medical Devices,104.14M
1544,CVS,CVS Health,Health Care Providers & Services,126.29B
1545,CVT,Cvent Holding,Software-Application,2.60B
1546,CVV,CVD Equipment,Semiconductors & Semiconductor Equipment,29.34M
1547,CVX,Chevron,"Oil, Gas & Consumable Fuels",337.28B
1548,CW,Curtiss-Wright,Aerospace & Defense,5.40B
1549,CWAN,Clearwater Analytics Holdings,Software-Application,4.43B
1550,CWBC,Community West Bancshares,Banks,117.30M
1551,CWBR,CohBar,Biotechnology,15.72M
1552,CWCO,Consolidated Water Co.,Water Utilities,210.48M
1553,CWEN,Clearway Energy,Independent Power and Renewable Elect...,6.47B
1554,CWEN.A,Clearway Energy,Independent Power and Renewable Elect...,6.47B
1555,CWH,Camping World Holdings,Specialty Retail,1.08B
1556,CWK,Cushman & Wakefield,Real Estate Management & Development,4.03B
1557,CWST,Casella Waste Systems,Commercial Services & Supplies,3.60B
1558,CWT,California Water Service Group,Water Utilities,2.91B
1559,CX,CEMEX,Construction Materials,6.47B
1560,CXAC,C5 Acquisition,Blank Check / SPAC,356.50M
1561,CXDO,Crexendo,IT Services,68.82M
1562,CXM,Sprinklr,Software-Application,2.90B
1563,CXW,CoreCivic,Equity Real Estate Investment Trusts ...,1.52B
1564,CYAD,Celyad Oncology,Biotechnology,47.00M
1565,CYAN,Cyanotech,Personal Products,18.11M
1566,CYBE,CyberOptics,Semiconductors & Semiconductor Equipment,318.65M
1567,CYBN,Cybin,Biotechnology,107.73M
1568,CYBR,CyberArk Software,Software,5.42B
1569,CYCC,Cyclacel Pharmaceuticals,Biotechnology,13.59M
1570,CYCN,Cyclerion Therapeutics,Biotechnology,25.11M
1571,CYD,China Yuchai International,Machinery,412.67M
1572,CYH,Community Health Systems,Health Care Providers & Services,783.25M
1573,CYN,Cyngn,Software-Application,57.46M
1574,CYRN,Cyren,Software,15.15M
1575,CYRX,CryoPort,Health Care Equipment & Supplies,1.15B
1576,CYT,Cyteir Therapeutics,Biotechnology,70.11M
1577,CYTH,Cyclo Therapeutics,Drug Manufacturers-Specialty & Generic,18.10M
1578,CYTK,Cytokinetics,Biotechnology,3.43B
1579,CYTO,Altamira Therapeutics,Biotechnology,13.56M
1580,CYXT,Cyxtera Technologies,Information Technology Services,2.29B
1581,CZNC,Citizens & Northern,Banks,382.32M
1582,CZOO,Cazoo Group,Software-Application,1.15B
1583,CZR,Caesars Entertainment,"Hotels, Restaurants & Leisure",10.37B
1584,CZWI,Citizens Community Bancorp,Banks,133.91M
1585,D,Dominion Energy,Multi-Utilities,67.42B
1586,DAC,Danaos,Marine,1.71B
1587,DADA,Dada Nexus,Internet & Direct Marketing Retail,1.67B
1588,DAIO,Data I/O,"Electronic Equipment, Instruments & C...",27.68M
1589,DAKT,Daktronics,"Electronic Equipment, Instruments & C...",145.27M
1590,DAL,Delta Air Lines,Airlines,25.33B
1591,DALN,DallasNews,Media,35.33M
1592,DALS,DA32 Life Science Tech Acquisition,Blank Check / SPAC,247.52M
1593,DAN,Dana Incorporated,Auto Components,2.22B
1594,DAO,Youdao,Diversified Consumer Services,687.79M
1595,DAOO,Crypto 1 Acquisition,Blank Check / SPAC,284.34M
1596,DAR,Darling Ingredients,Food Products,12.63B
1597,DARE,Dare Bioscience,Health Care Equipment & Supplies,97.50M
1598,DASH,DoorDash,Internet & Direct Marketing Retail,23.09B
1599,DATS,DatChat,Software-Application,23.71M
1600,DAVA,Endava,IT Services,5.36B
1601,DAVE,Dave Inc.,Software-Application,855.58M
1602,DAWN,Day One Biopharmaceuticals,Biotechnology,455.05M
1603,DB,Deutsche Bank AG,Capital Markets,22.05B
1604,DBD,Diebold Nixdorf,"Technology Hardware, Storage & Periph...",240.85M
1605,DBGI,Digital Brands Group,Apparel Retail,9.46M
1606,DBI,Designer Brands,Specialty Retail,1.02B
1607,DBRG,DigitalBridge Group,REIT-Diversified,3.54B
1608,DBTX,Decibel Therapeutics,Biotechnology,56.42M
1609,DBVT,DBV Technologies,Biotechnology,162.42M
1610,DBX,Dropbox,Software,7.65B
1611,DC,Dakota Gold,Gold,-
1612,DCBO,Docebo,Software-Application,1.19B
1613,DCFC,Tritium DCFC,Electrical Equipment & Parts,1.07B
1614,DCGO,DocGo,Medical Care Facilities,653.48M
1615,DCI,Donaldson Company,Machinery,6.18B
1616,DCO,Ducommun,Aerospace & Defense,502.45M
1617,DCOM,Dime Community Bancshares,Thrifts & Mortgage Finance,1.17B
1618,DCP,DCP Midstream LP,"Oil, Gas & Consumable Fuels",6.91B
1619,DCPH,Deciphera Pharmaceuticals,Biotechnology,776.72M
1620,DCRD,Decarbonization Plus Acquisition IV,Blank Check / SPAC,390.17M
1621,DCT,Duck Creek Technologies,Software,2.39B
1622,DCTH,Delcath Systems,Medical Devices,35.58M
1623,DD,DuPont de Nemours,Chemicals,33.19B
1624,DDD,3D Systems,"Technology Hardware, Storage & Periph...",1.34B
1625,DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,545.09M
1626,DDL,Dingdong (Cayman),Grocery Stores,902.38M
1627,DDOG,Datadog,Software,29.67B
1628,DDS,Dillard's,Multiline Retail,4.65B
1629,DE,Deere & Company,Machinery,102.78B
1630,DEA,Easterly Government Properties,Equity Real Estate Investment Trusts ...,3.41B
1631,DECA,Denali Capital Acquisition,Blank Check / SPAC,98.42M
1632,DECK,Deckers Outdoor,"Textiles, Apparel & Luxury Goods",6.77B
1633,DEI,Douglas Emmett,Equity Real Estate Investment Trusts ...,5.71B
1634,DELL,Dell Technologies,"Technology Hardware, Storage & Periph...",30.45B
1635,DEN,Denbury,"Oil, Gas & Consumable Fuels",3.57B
1636,DENN,Denny's,"Hotels, Restaurants & Leisure",597.99M
1637,DEO,Diageo,Beverages,105.95B
1638,DERM,Journey Medical,Drug Manufacturers-Specialty & Generic,69.73M
1639,DESP,Despegar.com,Internet & Direct Marketing Retail,586.87M
1640,DFFN,Diffusion Pharmaceuticals,Biotechnology,16.68M
1641,DFH,Dream Finders Homes,Residential Construction,1.55B
1642,DFIN,Donnelley Financial Solutions,Capital Markets,952.73M
1643,DFS,Discover Financial Services,Consumer Finance,30.59B
1644,DG,Dollar General,Multiline Retail,44.30B
1645,DGICA,Donegal Group,Insurance,494.69M
1646,DGICB,Donegal Group,Insurance,478.65M
1647,DGII,Digi International,Communications Equipment,931.80M
1648,DGLY,Digital Ally,"Electronic Equipment, Instruments & C...",49.23M
1649,DGNU,Dragoneer Growth Opportunities III,Blank Check / SPAC,524.35M
1650,DGX,Quest Diagnostics,Health Care Providers & Services,16.38B
1651,DH,Definitive Healthcare,Health Information Services,1.65B
1652,DHAC,Digital Health Acquisition,Blank Check / SPAC,149.32M
1653,DHBC,DHB Capital,Blank Check / SPAC,350.39M
1654,DHC,Diversified Healthcare Trust,Equity Real Estate Investment Trusts ...,513.82M
1655,DHCA,DHC Acquisition,Blank Check / SPAC,377.53M
1656,DHHC,DiamondHead Holdings,Blank Check / SPAC,421.76M
1657,DHI,D.R. Horton,Household Durables,23.84B
1658,DHIL,Diamond Hill Investment Group,Capital Markets,556.72M
1659,DHR,Danaher,Health Care Equipment & Supplies,183.91B
1660,DHT,DHT Holdings,"Oil, Gas & Consumable Fuels",970.77M
1661,DHX,DHI Group,Interactive Media & Services,324.95M
1662,DIBS,1stdibs.com,Internet Retail,200.99M
1663,DICE,DICE Therapeutics,Biotechnology,662.32M
1664,DIDI,DiDi Global,Software-Application,7.31B
1665,DILA,DILA Capital Acquisition,Blank Check / SPAC,74.20M
1666,DIN,Dine Brands Global,"Hotels, Restaurants & Leisure",1.15B
1667,DINO,HF Sinclair,"Oil, Gas & Consumable Fuels",10.32B
1668,DIOD,Diodes,Semiconductors & Semiconductor Equipment,3.29B
1669,DIS,The Walt Disney Company,Entertainment,189.96B
1670,DISA,Disruptive Acquisition I,Blank Check / SPAC,335.84M
1671,DISH,DISH Network,Media,11.02B
1672,DIT,AMCON Distributing Company,Distributors,96.38M
1673,DJCO,Daily Journal,Media,339.17M
1674,DK,Delek US Holdings,"Oil, Gas & Consumable Fuels",1.99B
1675,DKDCA,Data Knights Acquisition,Blank Check / SPAC,152.74M
1676,DKL,Delek Logistics Partners LP,"Oil, Gas & Consumable Fuels",2.31B
1677,DKNG,DraftKings Holdings,"Hotels, Restaurants & Leisure",6.12B
1678,DKS,Dick's Sporting Goods,Specialty Retail,6.20B
1679,DLA,Delta Apparel,"Textiles, Apparel & Luxury Goods",199.43M
1680,DLB,Dolby Laboratories,"Electronic Equipment, Instruments & C...",7.60B
1681,DLCA,Deep Lake Capital Acquisition,Blank Check / SPAC,253.58M
1682,DLHC,DLH Holdings,Professional Services,208.85M
1683,DLNG,Dynagas LNG Partners,"Oil, Gas & Consumable Fuels",139.48M
1684,DLO,DLocal,Software-Infrastructure,7.28B
1685,DLPN,Dolphin Entertainment,Entertainment,29.56M
1686,DLR,Digital Realty Trust,Equity Real Estate Investment Trusts ...,38.64B
1687,DLTH,Duluth Holdings,Internet & Direct Marketing Retail,361.26M
1688,DLTR,Dollar Tree,Multiline Retail,29.28B
1689,DLX,Deluxe,Commercial Services & Supplies,1.03B
1690,DM,Desktop Metal,Computer Hardware,642.60M
1691,DMAC,DiaMedica Therapeutics,Biotechnology,64.26M
1692,DMAQ,Deep Medicine Acquisition,Blank Check / SPAC,163.51M
1693,DMLP,Dorchester Minerals,"Oil, Gas & Consumable Fuels",1.10B
1694,DMRC,Digimarc,Software,336.40M
1695,DMS,Digital Media Solutions,Advertising Agencies,56.42M
1696,DMTK,DermTech,Biotechnology,185.63M
1697,DMYS,"dMY Technology Group, Inc. VI",Blank Check / SPAC,294.33M
1698,DNA,Ginkgo Bioworks Holdings,Biotechnology,4.73B
1699,DNAA,Social Capital Suvretta Holdings I,Shell Companies,313.54M
1700,DNAB,Social Capital Suvretta Holdings II,Blank Check / SPAC,308.38M
1701,DNAC,Social Capital Suvretta Holdings III,Shell Companies,314.28M
1702,DNAD,Social Capital Suvretta Holdings IV,Blank Check / SPAC,309.01M
1703,DNAY,Codex DNA,Medical Devices,127.30M
1704,DNB,Dun & Bradstreet Holdings,Professional Services,7.24B
1705,DNLI,Denali Therapeutics,Biotechnology,3.07B
1706,DNMR,Danimer Scientific,Specialty Chemicals,438.33M
1707,DNN,Denison Mines,"Oil, Gas & Consumable Fuels",931.46M
1708,DNOW,NOW Inc.,Trading Companies & Distributors,1.18B
1709,DNUT,Krispy Kreme,Grocery Stores,2.39B
1710,DNZ,D & Z Media Acquisition,Blank Check / SPAC,351.83M
1711,DO,Diamond Offshore Drilling,Energy Equipment & Services,734.55M
1712,DOC,Physicians Realty Trust,Equity Real Estate Investment Trusts ...,4.25B
1713,DOCN,DigitalOcean Holdings,Software-Infrastructure,4.49B
1714,DOCS,Doximity,Health Information Services,6.41B
1715,DOCU,DocuSign,Software,15.45B
1716,DOGZ,Dogness (International),"Textiles, Apparel & Luxury Goods",144.33M
1717,DOLE,Dole plc,Farm Products,1.07B
1718,DOMA,Doma Holdings,Shell Companies,582.85M
1719,DOMO,"Domo, Inc.",Software,1.04B
1720,DOOO,BRP Inc.,Leisure Products,5.47B
1721,DOOR,Masonite International,Building Products,1.92B
1722,DORM,Dorman Products,Auto Components,3.03B
1723,DOUG,Douglas Elliman,Real Estate Services,448.83M
1724,DOV,Dover,Machinery,18.95B
1725,DOW,Dow Inc.,Chemicals,49.28B
1726,DOX,Amdocs,IT Services,10.45B
1727,DOYU,DouYu International Holdings,Entertainment,421.94M
1728,DPCS,DP Cap Acquisition I,Blank Check / SPAC,285.78M
1729,DPRO,Draganfly,Aerospace & Defense,34.70M
1730,DPSI,DecisionPoint Systems,IT Services,39.79M
1731,DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",12.24B
1732,DQ,Daqo New Energy,Semiconductors & Semiconductor Equipment,3.47B
1733,DRAY,Macondray Capital Acquisition I,Blank Check / SPAC,355.42M
1734,DRCT,Direct Digital Holdings,Advertising Agencies,4.65M
1735,DRD,DRDGOLD,Metals & Mining,577.85M
1736,DRE,Duke Realty,Equity Real Estate Investment Trusts ...,19.97B
1737,DRH,DiamondRock Hospitality Company,Equity Real Estate Investment Trusts ...,2.03B
1738,DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",14.59B
1739,DRIO,DarioHealth,Health Care Equipment & Supplies,133.68M
1740,DRMA,Dermata Therapeutics,Biotechnology,6.83M
1741,DRQ,Dril-Quip,Energy Equipment & Services,1.05B
1742,DRRX,DURECT,Pharmaceuticals,89.72M
1743,DRTS,Alpha Tau Medical,Biotechnology,371.85M
1744,DRTT,DIRTT Environmental Solutions,Building Products,77.80M
1745,DRUG,Bright Minds Biosciences,Biotechnology,10.38M
1746,DRVN,Driven Brands Holdings,Auto & Truck Dealerships,4.39B
1747,DS,Drive Shack,"Hotels, Restaurants & Leisure",135.34M
1748,DSAC,Duddell Street Acquisition,Blank Check / SPAC,217.88M
1749,DSAQ,Direct Selling Acquisition,Blank Check / SPAC,287.79M
1750,DSEY,Diversey Holdings,Personal Services,3.00B
1751,DSGN,Design Therapeutics,Biotechnology,703.42M
1752,DSGR,Distribution Solutions Group,Trading Companies & Distributors,747.80M
1753,DSGX,The Descartes Systems Group,Software,5.17B
1754,DSKE,Daseke,Road & Rail,461.95M
1755,DSP,Viant Technology,Software-Application,335.12M
1756,DSS,"DSS, Inc.",Commercial Services & Supplies,35.46M
1757,DSWL,Deswell Industries,"Electronic Equipment, Instruments & C...",53.54M
1758,DSX,Diana Shipping,Marine,504.45M
1759,DT,Dynatrace,Software,10.83B
1760,DTC,Solo Brands,Internet Retail,259.31M
1761,DTE,DTE Energy Company,Multi-Utilities,25.24B
1762,DTEA,DAVIDsTEA,Specialty Retail,51.53M
1763,DTIL,Precision BioSciences,Biotechnology,106.32M
1764,DTM,DT Midstream,Oil & Gas Midstream,5.37B
1765,DTOC,Digital Transformation Opportunities,Blank Check / SPAC,408.95M
1766,DTRT,DTRT Health Acquisition,Blank Check / SPAC,288.79M
1767,DTSS,Datasea,Software,39.33M
1768,DTST,Data Storage,Information Technology Services,17.95M
1769,DUET,DUET Acquisition,Blank Check / SPAC,111.11M
1770,DUK,Duke Energy,Electric Utilities,85.68B
1771,DUNE,Dune Acquisition,Blank Check / SPAC,215.19M
1772,DUO,Fangdd Network Group,Interactive Media & Services,16.95M
1773,DUOL,Duolingo,Software-Application,2.99B
1774,DUOT,Duos Technologies Group,Software,21.03M
1775,DV,DoubleVerify Holdings,Software-Application,3.72B
1776,DVA,DaVita,Health Care Providers & Services,8.90B
1777,DVAX,Dynavax Technologies,Biotechnology,1.44B
1778,DVN,Devon Energy,"Oil, Gas & Consumable Fuels",46.81B
1779,DWAC,Digital World Acquisition,Blank Check / SPAC,1.66B
1780,DWIN,Delwinds Insurance Acquisition,Blank Check / SPAC,257.50M
1781,DWSN,Dawson Geophysical Company,Energy Equipment & Services,37.39M
1782,DX,Dynex Capital,Mortgage Real Estate Investment Trust...,598.16M
1783,DXC,DXC Technology Company,IT Services,7.42B
1784,DXCM,DexCom,Health Care Equipment & Supplies,31.44B
1785,DXF,Dunxin Financial Holdings,Diversified Financial Services,10.69M
1786,DXLG,Destination XL Group,Specialty Retail,270.07M
1787,DXPE,DXP Enterprises,Trading Companies & Distributors,544.55M
1788,DXR,Daxor,Health Care Equipment & Supplies,50.57M
1789,DXYN,The Dixie Group,Household Durables,28.56M
1790,DY,Dycom Industries,Construction & Engineering,2.41B
1791,DYAI,Dyadic International,Biotechnology,59.16M
1792,DYN,Dyne Therapeutics,Independent Power and Renewable Elect...,274.28M
1793,DYNS,Dynamics Special Purpose,Shell Companies,293.77M
1794,DYNT,Dynatronics,Health Care Equipment & Supplies,11.47M
1795,DZSI,"DZS, Inc.",Communications Equipment,407.06M
1796,E,Eni SpA,"Oil, Gas & Consumable Fuels",51.66B
1797,EA,Electronic Arts,Entertainment,37.45B
1798,EAC,Edify Acquisition,Blank Check / SPAC,337.76M
1799,EAF,GrafTech International,Electrical Equipment,2.14B
1800,EAR,Eargo,Medical Devices,47.42M
1801,EARN,Ellington Residential Mortgage REIT,Mortgage Real Estate Investment Trust...,102.98M
1802,EAST,Eastside Distilling,Beverages,10.70M
1803,EAT,Brinker International,"Hotels, Restaurants & Leisure",1.18B
1804,EB,Eventbrite,Interactive Media & Services,1.17B
1805,EBAC,European Biotech Acquisition,Blank Check / SPAC,159.89M
1806,EBAY,eBay Inc.,Internet & Direct Marketing Retail,25.07B
1807,EBC,Eastern Bankshares,Banks,3.47B
1808,EBET,"EBET, INC.",Gambling,50.89M
1809,EBF,Ennis,Commercial Services & Supplies,453.17M
1810,EBIX,"Ebix, Inc.",Software,917.87M
1811,EBMT,Eagle Bancorp Montana,Banks,157.38M
1812,EBON,Ebang International Holdings,Computer Hardware,139.67M
1813,EBR,Centrais Eletricas Brasileiras,Electric Utilities,14.40B
1814,EBS,Emergent BioSolutions,Biotechnology,1.98B
1815,EBTC,Enterprise Bancorp,Banks,392.65M
1816,EC,Ecopetrol,"Oil, Gas & Consumable Fuels",29.80B
1817,ECC,Eagle Point Credit Company,Securities and Commodity Exchanges,513.74M
1818,ECL,Ecolab,Chemicals,45.84B
1819,ECOM,ChannelAdvisor,Software,403.80M
1820,ECOR,electroCore,Health Care Equipment & Supplies,28.14M
1821,ECPG,Encore Capital Group,Consumer Finance,1.41B
1822,ECVT,Ecovyst,Specialty Chemicals,1.41B
1823,ED,Consolidated Edison,Multi-Utilities,34.63B
1824,EDAP,EDAP TMS,Health Care Equipment & Supplies,233.59M
1825,EDBL,Edible Garden AG,Food Products,14.37M
1826,EDIT,Editas Medicine,Biotechnology,748.87M
1827,EDN,Empresa Distribuidora y Comercializadora Norte,Electric Utilities,247.28M
1828,EDNC,Endurance Acquisition,Blank Check / SPAC,245.25M
1829,EDR,Endeavor Group Holdings,Entertainment,6.18B
1830,EDRY,EuroDry,Marine,87.49M
1831,EDSA,Edesa Biotech,Biotechnology,28.34M
1832,EDTK,Skillful Craftsman Education Technology,Education & Training Services,18.85M
1833,EDTX,EdtechX Holdings Acquisition II,Blank Check / SPAC,145.75M
1834,EDU,New Oriental Education & Technology Group,Diversified Consumer Services,2.03B
1835,EDUC,Educational Development,Distributors,40.76M
1836,EE,Excelerate Energy,Energy,617.76M
1837,EEFT,Euronet Worldwide,IT Services,5.76B
1838,EEIQ,Elite Education Group International,Diversified Consumer Services,22.16M
1839,EEX,Emerald Holding,Media,224.42M
1840,EFC,Ellington Financial,Mortgage Real Estate Investment Trust...,918.10M
1841,EFOI,Energy Focus,Electrical Equipment,6.07M
1842,EFSC,Enterprise Financial Services,Banks,1.67B
1843,EFTR,eFFECTOR Therapeutics,Biotechnology,70.68M
1844,EFX,Equifax,Professional Services,23.86B
1845,EGAN,eGain,Software,300.71M
1846,EGBN,Eagle Bancorp,Banks,1.60B
1847,EGGF,EG Acquisition,Blank Check / SPAC,273.09M
1848,EGHT,"8x8, Inc.",Software,898.72M
1849,EGLE,Eagle Bulk Shipping,Marine,973.98M
1850,EGLX,Enthusiast Gaming Holdings,Internet Content & Information,288.94M
1851,EGO,Eldorado Gold,Metals & Mining,1.55B
1852,EGP,EastGroup Properties,Equity Real Estate Investment Trusts ...,6.50B
1853,EGRX,Eagle Pharmaceuticals,Biotechnology,585.79M
1854,EGY,VAALCO Energy,"Oil, Gas & Consumable Fuels",382.27M
1855,EH,EHang Holdings,Aerospace & Defense,438.69M
1856,EHC,Encompass Health,Health Care Providers & Services,6.41B
1857,EHTH,eHealth,Insurance,266.49M
1858,EIC,Eagle Point Income Company,Securities and Commodity Exchanges,-
1859,EIG,Employers Holdings,Insurance,1.15B
1860,EIGR,Eiger BioPharmaceuticals,Biotechnology,293.01M
1861,EIX,Edison International,Electric Utilities,25.41B
1862,EJFA,EJF Acquisition,Blank Check / SPAC,356.86M
1863,EJH,E-Home Household Service Holdings,Personal Services,15.94M
1864,EKSO,Ekso Bionics Holdings,Health Care Equipment & Supplies,23.76M
1865,EL,The Estee Lauder Companies,Personal Products,84.87B
1866,ELA,Envela,Specialty Retail,132.74M
1867,ELAN,Elanco Animal Health,Pharmaceuticals,11.37B
1868,ELBM,Electra Battery Materials,Other Industrial Metals & Mining,101.30M
1869,ELDN,Eledon Pharmaceuticals,Biotechnology,44.28M
1870,ELEV,Elevation Oncology,Biotechnology,72.79M
1871,ELF,e.l.f. Beauty,Personal Products,1.13B
1872,ELLO,Ellomay Capital,Independent Power and Renewable Elect...,306.71M
1873,ELMD,Electromed,Health Care Equipment & Supplies,99.60M
1874,ELMS,Electric Last Mile Solutions,Auto Manufacturers,84.77M
1875,ELOX,Eloxx Pharmaceuticals,Pharmaceuticals,28.70M
1876,ELP,Companhia Paranaense de Energia,Electric Utilities,21.18B
1877,ELS,Equity LifeStyle Properties,Equity Real Estate Investment Trusts ...,14.07B
1878,ELSE,Electro-Sensors,"Electronic Equipment, Instruments & C...",16.54M
1879,ELTK,Eltek,"Electronic Equipment, Instruments & C...",24.22M
1880,ELVT,Elevate Credit,Consumer Finance,83.38M
1881,ELY,Callaway Golf Company,Leisure Products,3.71B
1882,ELYM,Eliem Therapeutics,Biotechnology,88.47M
1883,ELYS,Elys Game Technology,Gambling,25.26M
1884,EM,Smart Share Global,Personal Services,270.02M
1885,EMAN,eMagin,Semiconductors & Semiconductor Equipment,51.89M
1886,EMBC,Embecta,Drug Manufacturers-Specialty & Generic,1.55B
1887,EMBK,Embark Technology,Software-Application,764.85M
1888,EMCF,Emclaire Financial,Banks,92.53M
1889,EME,EMCOR Group,Construction & Engineering,5.26B
1890,EMKR,EMCORE,Communications Equipment,118.19M
1891,EML,The Eastern Company,Machinery,132.28M
1892,EMLD,FTAC Emerald Acquisition,Blank Check / SPAC,336.34M
1893,EMN,Eastman Chemical Company,Chemicals,13.29B
1894,EMR,Emerson Electric Company,Electrical Equipment,50.22B
1895,EMX,EMX Royalty,Metals & Mining,208.92M
1896,ENB,Enbridge,"Oil, Gas & Consumable Fuels",91.47B
1897,ENCP,Energem,Blank Check / SPAC,131.42M
1898,ENDP,Endo International,Pharmaceuticals,101.12M
1899,ENER,Accretion Acquisition,Blank Check / SPAC,255.01M
1900,ENFN,Enfusion,Software-Application,658.78M
1901,ENG,ENGlobal,Energy Equipment & Services,39.46M
1902,ENIA,Enel Americas,Electric Utilities,12.32B
1903,ENIC,Enel Chile,Electric Utilities,1.90B
1904,ENJY,Enjoy Technology,Specialty Retail,30.27M
1905,ENLC,EnLink Midstream LLC,"Oil, Gas & Consumable Fuels",5.00B
1906,ENLV,Enlivex Therapeutics,Software,76.43M
1907,ENOB,Enochian Biosciences,Biotechnology,346.29M
1908,ENOV,Enovis,Specialty Industrial Machinery,3.51B
1909,ENPC,Executive Network Partnering,Shell Companies,440.73M
1910,ENPH,Enphase Energy,Semiconductors & Semiconductor Equipment,22.80B
1911,ENR,Energizer Holdings,Household Products,2.25B
1912,ENS,EnerSys,Electrical Equipment,2.61B
1913,ENSC,Ensysce Biosciences,Biotechnology,18.22M
1914,ENSG,The Ensign Group,Health Care Providers & Services,4.38B
1915,ENSV,Enservco,Energy Equipment & Services,23.09M
1916,ENTA,Enanta Pharmaceuticals,Biotechnology,875.73M
1917,ENTF,Enterprise 4.0 Technology Acquisition,Blank Check / SPAC,378.94M
1918,ENTG,Entegris,Semiconductors & Semiconductor Equipment,14.42B
1919,ENTX,Entera Bio,Biotechnology,68.27M
1920,ENV,Envestnet,Software,3.87B
1921,ENVA,Enova International,Consumer Finance,999.94M
1922,ENVB,Enveric Biosciences,Biotechnology,10.63M
1923,ENVX,Enovix,Electrical Equipment & Parts,1.46B
1924,ENZ,Enzo Biochem,Health Care Providers & Services,115.44M
1925,EOCW,Elliott Opportunity II,Blank Check / SPAC,739.02M
1926,EOG,EOG Resources,"Oil, Gas & Consumable Fuels",74.26B
1927,EOLS,Evolus,Pharmaceuticals,650.17M
1928,EOSE,Eos Energy Enterprises,Electrical Equipment & Parts,62.88M
1929,EP,Empire Petroleum,Oil & Gas E&P,411.85M
1930,EPAC,Enerpac Tool Group,Machinery,1.23B
