Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-11-19,16.82879066467285,16.82879066467285,16.82879066467285,16.82879066467285,200,0.0,0
2008-11-20,17.404068917835303,17.404068917835303,16.748685836791992,16.748685836791992,1900,0.0,0
2008-11-21,16.020484924316406,16.020484924316406,16.020484924316406,16.020484924316406,100,0.0,0
2008-11-24,16.020484924316406,16.020484924316406,16.020484924316406,16.020484924316406,0,0.0,0
2008-11-25,17.20745695401228,17.360380490000566,17.112791061401367,17.112791061401367,9600,0.0,0
2008-11-26,17.032691093092033,18.059458620623737,17.032691093092033,17.731767654418945,565400,0.0,0
2008-11-28,19.078941203138157,20.24406623840332,19.078941203138157,20.24406623840332,400,0.0,0
2008-12-01,19.65422517382468,19.65422517382468,16.887050616621792,16.959871292114258,20600,0.0,0
2008-12-02,16.82151528979955,19.51586967481025,16.78510425078237,17.323976516723633,43400,0.0,0
2008-12-03,17.455046272933572,18.095866456671523,16.938022191656017,17.316688537597656,62200,0.0,0
2008-12-04,17.46961668872326,18.569205077640554,16.938028013963645,16.96715545654297,34800,0.0,0
2008-12-05,16.8506346467904,17.768171555683235,16.748686564337348,17.6589412689209,28700,0.0,0
2008-12-08,17.833713582804194,20.38970947265625,17.549714502466873,17.84099578857422,250400,0.0,0
2008-12-09,17.768175165420853,18.241507430177595,17.658944856467564,17.921098709106445,56500,0.0,0
2008-12-10,17.819147372254207,18.47453193600193,17.7026348695743,17.92837905883789,6500,0.0,0
2008-12-11,17.797300728374445,17.826428157254867,17.52786471930352,17.56427574157715,16100,0.0,0
2008-12-12,17.331249253689748,17.476890563964844,17.331249253689748,17.476890563964844,600,0.0,0
2008-12-15,17.50602149963379,17.50602149963379,17.50602149963379,17.50602149963379,100,0.0,0
2008-12-16,17.556993768514428,18.569196589107417,17.542429359413028,18.4818115234375,13100,0.0,0
2008-12-17,18.17596827060063,18.372583652546417,18.17596827060063,18.26335334777832,5600,0.0,0
2008-12-18,18.86047646781779,19.00611777046346,17.906529963409994,18.205093383789062,20400,0.0,0
2008-12-19,18.1031551361084,18.1031551361084,18.1031551361084,18.1031551361084,3300,0.0,0
2008-12-22,18.933301959231752,18.933301959231752,17.513303756713867,17.513303756713867,3200,0.0,0
