Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-02,25.309999465942383,25.469999313354492,25.309999465942383,25.468000411987305,19300,0,0
2021-12-03,24.6299991607666,24.93600082397461,24.6299991607666,24.93600082397461,1000,0,0
2021-12-06,25.006000518798828,25.006000518798828,25.006000518798828,25.006000518798828,100,0,0
2021-12-07,25.389999389648438,25.8799991607666,24.989999771118164,25.770000457763672,36200,0,0
2021-12-08,25.739999771118164,25.954999923706055,25.690000534057617,25.954999923706055,2300,0,0
2021-12-09,25.937000274658203,25.937000274658203,25.719999313354492,25.719999313354492,400,0,0
2021-12-10,25.594999313354492,25.594999313354492,25.594999313354492,25.594999313354492,100,0,0
2021-12-13,25.393999099731445,25.393999099731445,25.393999099731445,25.393999099731445,100,0,0
2021-12-14,24.799999237060547,24.809999465942383,24.788999557495117,24.788999557495117,200,0,0
2021-12-15,24.760000228881836,25.216999053955078,24.610000610351562,25.216999053955078,1500,0,0
2021-12-16,25.139999389648438,25.170000076293945,24.430999755859375,24.58099937438965,1300,0,0
2021-12-17,25.010000228881836,25.030000686645508,24.856000900268555,24.856000900268555,1000,0,0
2021-12-20,24.48200035095215,24.48200035095215,24.48200035095215,24.48200035095215,100,0,0
2021-12-21,24.8700008392334,25.290000915527344,24.8700008392334,25.290000915527344,500,0,0
2021-12-22,25.434999465942383,25.434999465942383,25.434999465942383,25.434999465942383,100,0,0
2021-12-23,25.577999114990234,25.577999114990234,25.577999114990234,25.577999114990234,100,0,0
2021-12-27,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,100,0,0
2021-12-28,25.3799991607666,25.3799991607666,25.3799991607666,25.3799991607666,100,0,0
2021-12-29,25.382999420166016,25.382999420166016,25.382999420166016,25.382999420166016,100,0,0
2021-12-30,25.52400016784668,25.52400016784668,25.52400016784668,25.52400016784668,0,0,0
2021-12-31,25.32699966430664,25.32699966430664,25.32699966430664,25.32699966430664,0,0,0
2022-01-03,24.98900032043457,24.98900032043457,24.98900032043457,24.98900032043457,100,0,0
2022-01-04,24.5,24.5,24.264999389648438,24.264999389648438,700,0,0
2022-01-05,23.770999908447266,23.770999908447266,23.15999984741211,23.15999984741211,500,0,0
2022-01-06,23.229999542236328,23.229999542236328,23.086000442504883,23.086000442504883,1100,0,0
2022-01-07,22.827999114990234,22.827999114990234,22.827999114990234,22.827999114990234,100,0,0
2022-01-10,22.992000579833984,22.992000579833984,22.992000579833984,22.992000579833984,100,0,0
2022-01-11,23.399999618530273,23.399999618530273,23.399999618530273,23.399999618530273,100,0,0
2022-01-12,23.281999588012695,23.281999588012695,23.281999588012695,23.281999588012695,100,0,0
2022-01-13,22.215999603271484,22.215999603271484,22.215999603271484,22.215999603271484,100,0,0
2022-01-14,22.100000381469727,22.125999450683594,22.100000381469727,22.125999450683594,100,0,0
2022-01-18,21.569000244140625,21.569000244140625,21.569000244140625,21.569000244140625,100,0,0
2022-01-19,21.5049991607666,21.5049991607666,21.5049991607666,21.5049991607666,100,0,0
2022-01-20,21.30900001525879,21.30900001525879,21.30900001525879,21.30900001525879,100,0,0
2022-01-21,20.513999938964844,20.513999938964844,20.513999938964844,20.513999938964844,100,0,0
2022-01-24,20.389999389648438,20.945999145507812,20.389999389648438,20.945999145507812,700,0,0
2022-01-25,20.211999893188477,20.211999893188477,20.211999893188477,20.211999893188477,100,0,0
2022-01-26,19.798999786376953,19.798999786376953,19.798999786376953,19.798999786376953,100,0,0
2022-01-27,19.683000564575195,19.683000564575195,19.683000564575195,19.683000564575195,100,0,0
2022-01-28,20.423999786376953,20.423999786376953,20.423999786376953,20.423999786376953,100,0,0
2022-01-31,21.55299949645996,21.55299949645996,21.55299949645996,21.55299949645996,100,0,0
2022-02-01,21.93000030517578,21.93000030517578,21.93000030517578,21.93000030517578,100,0,0
2022-02-02,21.551000595092773,21.551000595092773,21.551000595092773,21.551000595092773,100,0,0
2022-02-03,20.67799949645996,20.67799949645996,20.67799949645996,20.67799949645996,100,0,0
2022-02-04,21.42799949645996,21.42799949645996,21.42799949645996,21.42799949645996,100,0,0
2022-02-07,21.354000091552734,21.354000091552734,21.354000091552734,21.354000091552734,0,0,0
2022-02-08,21.617000579833984,21.617000579833984,21.617000579833984,21.617000579833984,100,0,0
2022-02-09,22.257999420166016,22.257999420166016,22.257999420166016,22.257999420166016,100,0,0
2022-02-10,21.996000289916992,21.996000289916992,21.996000289916992,21.996000289916992,0,0,0
2022-02-11,21.22599983215332,21.22599983215332,21.22599983215332,21.22599983215332,100,0,0
2022-02-14,21.070999145507812,21.070999145507812,21.070999145507812,21.070999145507812,100,0,0
2022-02-15,21.562999725341797,21.562999725341797,21.562999725341797,21.562999725341797,100,0,0
2022-02-16,21.42799949645996,21.42799949645996,21.42799949645996,21.42799949645996,0,0,0
2022-02-17,20.743999481201172,20.743999481201172,20.743999481201172,20.743999481201172,100,0,0
2022-02-18,20.239999771118164,20.239999771118164,20.239999771118164,20.239999771118164,0,0,0
